Time,Speed,Magnitude
618.638,-97.6,25.0
618.702,-24.4,71.0
618.765,-61.0,61.0
618.829,-48.8,32.0
619.218,48.8,40.0
619.281,48.8,90.0
619.345,146.4,27.0
624.307,-73.2,27.0
624.434,-36.6,41.0
624.498,-24.4,26.0
630.955,-97.6,79.0
631.029,-85.4,224.0
631.093,-48.8,47.0
631.542,73.2,40.0
631.607,109.8,141.0
631.673,122.0,55.0
637.336,36.6,23.0
637.463,-48.8,37.0
637.528,-48.8,25.0
637.593,-24.4,28.0
639.398,-24.4,26.0
645.561,-97.6,27.0
645.625,-109.8,89.0
645.688,-36.6,71.0
645.751,-48.8,72.0
646.4,36.6,49.0
646.465,36.6,64.0
646.529,12.2,41.0
646.593,24.4,27.0
651.551,-36.6,22.0
651.616,-24.4,27.0
657.138,-97.6,33.0
657.203,-134.2,50.0
657.268,-48.8,91.0
657.332,-73.2,21.0
658.172,61.0,112.0
658.238,12.2,47.0
658.304,85.4,34.0
662.612,-48.8,38.0
662.677,-61.0,28.0
664.357,24.4,22.0
664.487,12.2,22.0
667.7,-109.8,60.0
667.764,-36.6,108.0
667.829,-73.2,102.0
667.895,-61.0,35.0
668.61,73.2,90.0
668.676,97.6,69.0
668.742,97.6,39.0
